indroea,demarc,area_km2,elev_mean,slope_mean,clay_pct,sand_pct,forest_frac,crop_frac,p_mean,pet_mean,aridity,frac_snow,p_seasonality,high_prec_freq,low_prec_freq,wet_day_frac,runoff_coef,qc_flag
2000,duero,120.7,1536.503,11.22,17.028,47.14,0.924,0.0,2.434,2.179,0.895,0.175,0.772,14.69,217.0,0.406,0.68,clean
2002,duero,1459.2,1261.213,6.525,21.315,42.173,0.572,0.147,2.039,2.393,1.174,0.086,0.754,15.73,227.2,0.378,0.305,clean
2003,duero,57.1,1078.608,5.233,23.616,39.11,0.343,0.269,2.021,2.256,1.116,0.076,0.735,17.02,234.1,0.359,0.424,clean
2005,duero,896.5,1089.46,4.2,21.408,41.512,0.589,0.087,1.8,2.599,1.444,0.044,0.885,18.39,242.6,0.336,0.277,clean
2006,duero,89.0,1628.602,7.437,16.851,57.638,0.262,0.0,2.642,2.256,0.854,0.114,1.15,20.35,248.0,0.321,0.614,clean
2009,duero,37.9,1471.623,12.566,21.761,42.397,0.749,0.01,1.981,2.472,1.248,0.079,0.898,17.84,236.9,0.351,0.719,clean
2012,duero,468.0,1131.64,4.535,21.963,45.866,0.287,0.341,1.912,2.557,1.338,0.05,0.921,17.92,238.5,0.347,0.203,clean
2016,duero,271.8,1294.706,7.21,15.476,57.018,0.431,0.031,2.071,2.499,1.206,0.07,0.934,18.23,234.9,0.357,0.466,clean
2019,duero,453.3,1284.098,11.432,21.794,41.786,0.483,0.019,2.59,2.046,0.79,0.121,0.46,11.81,194.8,0.467,0.739,clean
2021,duero,259.3,1363.573,12.305,21.285,42.199,0.486,0.003,2.793,2.002,0.717,0.126,0.393,10.94,187.0,0.488,0.761,clean
2024,duero,1117.3,1139.772,8.531,22.837,40.254,0.355,0.139,2.222,2.162,0.973,0.091,0.575,12.98,209.9,0.425,0.488,clean
2028,duero,355.5,1255.737,7.558,20.722,41.986,0.789,0.0,2.464,2.339,0.949,0.106,0.869,15.84,221.3,0.394,0.423,clean
2030,duero,1201.4,1196.333,7.66,21.739,41.332,0.635,0.065,2.416,2.355,0.975,0.084,0.87,15.68,220.4,0.397,0.393,clean
2031,duero,2421.4,1061.634,5.331,23.439,39.702,0.41,0.349,2.1,2.458,1.17,0.047,0.901,16.6,230.2,0.37,0.286,clean
2034,duero,34.7,1574.84,13.847,19.993,42.238,0.21,0.0,3.027,1.993,0.659,0.17,0.672,13.45,196.2,0.463,1.017,karst_high
2035,duero,72.1,1489.535,14.925,20.123,41.988,0.359,0.0,2.918,2.041,0.699,0.152,0.757,14.77,203.6,0.443,0.563,clean
2038,duero,397.9,1586.636,15.91,19.709,42.72,0.303,0.0,2.939,2.001,0.681,0.156,0.57,12.45,192.2,0.474,0.769,clean
2040,duero,953.9,1207.178,7.518,21.251,41.168,0.222,0.409,2.332,2.281,0.978,0.06,0.699,15.58,216.4,0.408,0.519,clean
2041,duero,311.4,929.935,1.883,24.414,38.69,0.16,0.746,1.839,2.478,1.347,0.02,0.817,19.89,248.8,0.319,0.162,clean
2042,duero,2259.2,1013.727,3.954,22.651,40.413,0.169,0.609,1.96,2.448,1.249,0.027,0.765,17.66,235.9,0.354,0.252,clean
2044,duero,997.8,907.132,2.952,26.3,36.829,0.105,0.699,1.617,2.651,1.639,0.014,0.953,19.77,252.8,0.308,0.098,clean
